chapter	verse	witness	kind	category	from	to	left_ctx	right_ctx	witness_text	edition_text
SS.1.1	SS.1.1.4b	H	grouped-minor	nasal-anusvara	m	ṃ	da		āyurvvedam	āyurvedaṃ
SS.1.1	SS.1.1.4b	N	grouped-minor	deletion	ḥ		ma		icchāmaḥ	icchāma
SS.1.1	SS.1.1.4b	H	editorial-surface	insertion		ḥ	nā	 s	upasannā smaḥ	upasannāḥ smaḥ
SS.1.1	SS.1.1.5	H	grouped-minor	degemination	v		rv	a	sarvva	sarva
SS.1.1	SS.1.1.5	K	grouped-minor	punctuation	 		a	dh	a dhyā pyāś ca	adhyāpyāś ca
SS.1.1	SS.1.1.5	K	grouped-minor	punctuation	 		yā	py	a dhyā pyāś ca	adhyāpyāś ca
SS.1.1	SS.1.1.5	K	grouped-minor	nasal-anusvara	ṃ	n	va	to	bhavaṃto	bhavanto
SS.1.1	SS.1.1.6	H	grouped-minor	degemination	v		rv	ed	khalv āyurvvedo	khalv āyurvedo
SS.1.1	SS.1.1.6	H	grouped-minor	degemination	v		ar	va	atharvvavedasyoktam	atharvavedasyoktam
SS.1.1	SS.1.1.8.1	K	grouped-minor	visarga	s	ḥ	sa		pratyekāṅgalakṣaṇasamāsas	pratyekāṅgalakṣaṇasamāsaḥ
SS.1.1	SS.1.1.8.1	H	grouped-minor	visarga	s	ḥ	sa		pratyekāṅgalakṣaṇasamāsas	pratyekāṅgalakṣaṇasamāsaḥ
SS.1.1	SS.1.1.8.1	N	grouped-minor	visarga	s	ḥ	sa		pratyekāṅgalakṣaṇasamāsas	pratyekāṅgalakṣaṇasamāsaḥ
SS.1.1	SS.1.1.8.2	K	grouped-minor	gemination		d	or	dh	nāmordhvajatrugatānāṃ	nāmorddhvajatrugatānāṃ
SS.1.1	SS.1.1.8.2	N	grouped-minor	gemination		d	or	dh	nāmordhvajatrugatānāṃ	nāmorddhvajatrugatānāṃ
SS.1.1	SS.1.1.8.2	K	grouped-minor	nasal-anusvara	ṃ	m	ha		upaśamakaraṇārthaṃ	upaśamakaraṇārtham
SS.1.1	SS.1.1.8.2	H	grouped-minor	nasal-anusvara	ṃ	m	ha		upaśamakaraṇārthaṃ	upaśamakaraṇārtham
SS.1.1	SS.1.1.8.3	H	grouped-minor	degemination	v		ar	va	sarvvaśarīrāvasthitānāṃ	sarvaśarīrāvasthitānāṃ
SS.1.1	SS.1.1.8.4	K	editorial-surface	deletion	✗		va	ga	deva✗gandharvakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ	devagandharvayakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ
SS.1.1	SS.1.1.8.4	K	editorial-surface	other		ay	rv	ak	deva✗gandharvakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ	devagandharvayakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ
SS.1.1	SS.1.1.8.5	N	grouped-minor	nasal-anusvara	m	ṃ	ha		kumārabharaṇadhātrīkṣīradoṣasaṃśodhanārtham	kumārabharaṇadhātrīkṣīradoṣasaṃśodhanārthaṃ
SS.1.1	SS.1.1.8.5	K	grouped-minor	nasal-anusvara	ṃ	m	ha		upaśamakaraṇārthaṃ	upaśamakaraṇārtham
SS.1.1	SS.1.1.8.5	H	grouped-minor	nasal-anusvara	ṃ	m	ha		upaśamakaraṇārthaṃ	upaśamakaraṇārtham
SS.1.1	SS.1.1.9	N	grouped-minor	nasal-anusvara	m	ṃ	ki		kasmai kim	kasmai kiṃ
SS.1.1	SS.1.1.9	H	grouped-minor	nasal-anusvara	m	ṃ	ki		kasmai kim	kasmai kiṃ
SS.1.1	SS.1.1.10	H	grouped-minor	degemination	v		ar	va	sarvvam eva śalyajñānam	sarvam eva śalyajñānam
SS.1.1	SS.1.1.10	H	grouped-minor	nasal-anusvara	ṃ	ṅ	la	kṛ	alaṃkṛtvopadiśatu	alaṅkṛtvopadiśatu
SS.1.1	SS.1.1.12	N	grouped-minor	visarga	ḥ	r	cu		ta ūcuḥ	ta ūcur
SS.1.1	SS.1.1.12	N	grouped-minor	nasal-anusvara	ṃ		ṣā	m	sarveṣāṃm	sarveṣām
SS.1.1	SS.1.1.12	H	grouped-minor	degemination	v		ar	ve	sarvveṣām	sarveṣām
SS.1.1	SS.1.1.12	K	grouped-minor	other	y	i	at		prakṣyaty	prakṣyati
SS.1.1	SS.1.1.14-15	K	grouped-minor	visarga	s	ḥ	da		āyurvedas	āyurvedaḥ
SS.1.1	SS.1.1.14-15	N	grouped-minor	visarga	s	ḥ	da		āyurvedas	āyurvedaḥ
SS.1.1	SS.1.1.14-15	H	grouped-minor	degemination	v		rv	ed	āyurvvedas	āyurvedaḥ
SS.1.1	SS.1.1.14-15	H	grouped-minor	visarga	s	ḥ	da		āyurvvedas	āyurvedaḥ
SS.1.1	SS.1.1.17	H	grouped-minor	nasal-anusvara	m	ṃ	na		pradhānam	pradhānaṃ
SS.1.1	SS.1.1.17	H	grouped-minor	nasal-anusvara	m	ṃ	yā		aśvibhyām	aśvibhyāṃ
SS.1.1	SS.1.1.18	H	grouped-minor	degemination	v		ur	ve	cāyurvvedatantrāṇām	cāyurvedatantrāṇām
SS.1.1	SS.1.1.18	H	grouped-minor	degemination	v		rv	at	kriyākaraṇād yantraśastrakṣārāgnipraṇidhānāt sarvvatantrasāmānyāc ca	kriyākaraṇād yantraśastrakṣārāgnipraṇidhānāt sarvatantrasāmānyāc ca
SS.1.1	SS.1.1.19	H	grouped-minor	nasal-anusvara	m	ṃ	ta		śāśvatam	śāśvataṃ
SS.1.1	SS.1.1.19	H	grouped-minor	punctuation	 		ya	śa	ya śasyam	yaśasyam
SS.1.1	SS.1.1.21	K	grouped-minor	avagraha		'		sm	smi gāṃ	'smi gāṃ
SS.1.1	SS.1.1.22	H	grouped-minor	punctuation		 |	āl	 l	kasmāl lokadvaividhyāl loko hi	kasmāl | lokadvaividhyāl | loko hi
SS.1.1	SS.1.1.22	H	grouped-minor	punctuation		| 	l 	lo	kasmāl lokadvaividhyāl loko hi	kasmāl | lokadvaividhyāl | loko hi
SS.1.1	SS.1.1.22	K	editorial-surface	other	ās	aḥ	jñ		saṃsvedajādrijajarāyujāṇḍajasaṃjñās	saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ
SS.1.1	SS.1.1.22	H	editorial-surface	other	o h	ād	aj	ri	saṃsvedajo hridajarāyujāṇḍajasaṃjñās	saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ
SS.1.1	SS.1.1.22	H	editorial-surface	other	d	j	ri	aj	saṃsvedajo hridajarāyujāṇḍajasaṃjñās	saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ
SS.1.1	SS.1.1.22	H	editorial-surface	other	ās	aḥ	jñ		saṃsvedajo hridajarāyujāṇḍajasaṃjñās	saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ
SS.1.1	SS.1.1.22	K	grouped-minor	punctuation		 |	at	 t	anyat tasmāt puruṣo	anyat | tasmāt puruṣo
SS.1.1	SS.1.1.22	H	grouped-minor	punctuation		 |	at	 t	anyat tasmāt puruṣo	anyat | tasmāt puruṣo
SS.1.1	SS.1.1.30	N	grouped-minor	degemination	v		rv	id	caturvvidhā	caturvidhāḥ
SS.1.1	SS.1.1.30	N	grouped-minor	insertion		ḥ	hā		caturvvidhā	caturvidhāḥ
SS.1.1	SS.1.1.30	H	grouped-minor	degemination	p		rp	ās	khagasarīsṛpasarppās	khagasarīsṛpasarpās
SS.1.1	SS.1.1.30	K	grouped-minor	punctuation	 		mi	ku	kṛmi kuntha pipīlikā prabhṛtayaḥ	kṛmikunthapipīlikāprabhṛtayaḥ
SS.1.1	SS.1.1.30	K	grouped-minor	punctuation	 		ha	pi	kṛmi kuntha pipīlikā prabhṛtayaḥ	kṛmikunthapipīlikāprabhṛtayaḥ
SS.1.1	SS.1.1.30	K	grouped-minor	punctuation	 		kā	pr	kṛmi kuntha pipīlikā prabhṛtayaḥ	kṛmikunthapipīlikāprabhṛtayaḥ
SS.1.1	SS.1.1.31	H	grouped-minor	degemination	m		ar	ma	carmmaromanakharudhirādayaḥ	carmaromanakharudhirādayaḥ
SS.1.1	SS.1.1.32	K	grouped-minor	degemination	ṇ		ar	ṇa	suvarṇṇarajatādayaḥ	suvarṇarajatādayaḥ
SS.1.1	SS.1.1.32	N	grouped-minor	degemination	ṇ		ar	ṇa	suvarṇṇarajatādayaḥ	suvarṇarajatādayaḥ
SS.1.1	SS.1.1.32	H	grouped-minor	degemination	ṇ		ar	ṇa	suvarṇṇarajatādayaḥ	suvarṇarajatādayaḥ
SS.1.1	SS.1.1.34	N	grouped-minor	punctuation	 |		ti		bhavanti |	bhavanti
SS.1.1	SS.1.1.35	K	editorial-surface	punctuation	|	 	ra	| 	bhavanti cātra|| śārīrāṇāṃ	bhavanti cātra | śārīrāṇāṃ
SS.1.1	SS.1.1.35	N	grouped-minor	degemination	v		rv	id	caturvvidhaḥ	caturvidhaḥ
SS.1.1	SS.1.1.35	H	grouped-minor	degemination	v		rv	id	caturvvidhaḥ	caturvidhaḥ
SS.1.1	SS.1.1.38	N	grouped-minor	punctuation	| 		t 	sn	kriyāgrahaṇāt | snehādīni	kriyāgrahaṇāt snehādīni
SS.1.1	SS.1.1.40	H	editorial-surface	sibilant	s	ś	va	ād	arthavasād vibhajya uttare	arthavaśād vibhajya uttare
SS.1.2	SS.1.2.3	K	grouped-minor	punctuation	 		nu	ji	tanu jihvauṣṭha dantāgram	tanujihvauṣṭhadantāgram
SS.1.2	SS.1.2.3	K	grouped-minor	punctuation	 		ha	da	tanu jihvauṣṭha dantāgram	tanujihvauṣṭhadantāgram
SS.1.2	SS.1.2.3	N	grouped-minor	punctuation	 		nu	ji	tanu jihvauṣṭha dantāgram	tanujihvauṣṭhadantāgram
SS.1.2	SS.1.2.3	N	grouped-minor	punctuation	 		ha	da	tanu jihvauṣṭha dantāgram	tanujihvauṣṭhadantāgram
SS.1.2	SS.1.2.3	H	grouped-minor	punctuation	 		nu	ji	tanu jihvauṣṭha dantāgram	tanujihvauṣṭhadantāgram
SS.1.2	SS.1.2.3	H	grouped-minor	punctuation	 		ha	da	tanu jihvauṣṭha dantāgram	tanujihvauṣṭhadantāgram
SS.1.2	SS.1.2.3	N	grouped-minor	punctuation		 	et	| 	upanayet| sa hi	upanayet | sa hi
SS.1.2	SS.1.2.3	H	grouped-minor	punctuation		 	et	| 	upanayet| sa hi	upanayet | sa hi
SS.1.2	SS.1.2.3	N	grouped-minor	punctuation	||		to		ato||	ato
SS.1.2	SS.1.2.4	K	grouped-minor	nasal-anusvara	ṃ	m	ṇa		brāhmaṇaṃ	brāhmaṇam
SS.1.2	SS.1.2.4	H	grouped-minor	nasal-anusvara	ṃ	m	ṇa		brāhmaṇaṃ	brāhmaṇam
SS.1.2	SS.1.2.4	K	grouped-minor	punctuation		 |	āt	 p	juhuyāt pratidevatam	juhuyāt | pratidevatam
SS.1.2	SS.1.2.6	K	editorial-surface	nasal-anusvara	ṅ	ṃ	ha	ka	brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	K	editorial-surface	vowel-length	a	ā	ṅk	re	brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	K	editorial-surface	vowel-length	a	ā	ap	ru	brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	K	editorial-surface	vowel-length	u	ū	ar	ṣa	brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	K	editorial-surface	insertion		y	uṣ	ap	brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	K	editorial-surface	other	t	s	yā	ya	brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	N	editorial-surface	ba-va	v	b		rū	vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	N	editorial-surface	punctuation		 	āt	| 	vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	N	editorial-surface	other	 	pā	ya	rū	vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	N	editorial-surface	insertion		y	ūṣ	a 	vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	N	editorial-surface	punctuation	 		ṣa	pa	vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	H	editorial-surface	punctuation		 	āt	| 	brūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapāruṣya paiśunyānṛtālasyāyaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	H	editorial-surface	vowel-length	u	ū	ār	ṣy	brūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapāruṣya paiśunyānṛtālasyāyaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	H	editorial-surface	punctuation	 		ya	pa	brūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapāruṣya paiśunyānṛtālasyāyaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	H	editorial-surface	other		sya	yā	ya	brūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapāruṣya paiśunyānṛtālasyāyaśasyāni	brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni
SS.1.2	SS.1.2.6	K	grouped-minor	nasal-anusvara	m	ṃ	ya		prākāśyam	prākāśyaṃ
SS.1.2	SS.1.2.7	N	grouped-minor	punctuation		 	ag	va	samyagvarttamāne	samyag varttamāne
SS.1.2	SS.1.2.8	N	grouped-minor	punctuation	 		ra	dh	mitra dharma kāma yaśāṃsi	mitradharmakāmayaśāṃsi
SS.1.2	SS.1.2.8	N	grouped-minor	punctuation	 		ma	kā	mitra dharma kāma yaśāṃsi	mitradharmakāmayaśāṃsi
SS.1.2	SS.1.2.8	N	grouped-minor	punctuation	 		ma	ya	mitra dharma kāma yaśāṃsi	mitradharmakāmayaśāṃsi
SS.1.2	SS.1.2.9	N	grouped-minor	avagraha	'		ye		śuklādaye'	śuklādaye
SS.1.2	SS.1.2.10	N	grouped-minor	gemination		ṇ	āṇ	 ṇ	viprāṇ ṇādhīyate	viprāṇṇ ādhīyate
SS.1.2	SS.1.2.10	N	grouped-minor	nasal-anusvara	ṇ		ṇ 	ād	viprāṇ ṇādhīyate	viprāṇṇ ādhīyate
SS.1.13	SS.1.13.1	N	grouped-minor	nasal-anusvara	m	ṃ	ya		jalāyukādhyāyam	jalāyukādhyāyaṃ
SS.1.13	SS.1.13.3	H	grouped-minor	punctuation	 		ya	su	nṛpāḍhya sukumāra bāla sthavira bhīru nārīṇām	nṛpāḍhyasukumārabālasthavirabhīrunārīṇām
SS.1.13	SS.1.13.3	H	grouped-minor	punctuation	 		ra	bā	nṛpāḍhya sukumāra bāla sthavira bhīru nārīṇām	nṛpāḍhyasukumārabālasthavirabhīrunārīṇām
SS.1.13	SS.1.13.3	H	grouped-minor	punctuation	 		la	st	nṛpāḍhya sukumāra bāla sthavira bhīru nārīṇām	nṛpāḍhyasukumārabālasthavirabhīrunārīṇām
SS.1.13	SS.1.13.3	H	grouped-minor	punctuation	 		ra	bh	nṛpāḍhya sukumāra bāla sthavira bhīru nārīṇām	nṛpāḍhyasukumārabālasthavirabhīrunārīṇām
SS.1.13	SS.1.13.3	H	grouped-minor	punctuation	 		ru	nā	nṛpāḍhya sukumāra bāla sthavira bhīru nārīṇām	nṛpāḍhyasukumārabālasthavirabhīrunārīṇām
SS.1.13	SS.1.13.5	N	grouped-minor	nasal-anusvara	ṅ	ṃ	ra		samadhuraṅ	samadhuraṃ
SS.1.13	SS.1.13.8	H	grouped-minor	punctuation	 		nu	ba	tanu basti paṭalāvanaddhena	tanubastipaṭalāvanaddhena
SS.1.13	SS.1.13.8	H	grouped-minor	punctuation	 		ti	pa	tanu basti paṭalāvanaddhena	tanubastipaṭalāvanaddhena
SS.1.13	SS.1.13.8	H	editorial-surface	ba-va	v	b	lā	un	avasecayet | ācūṣaṇād antarddīptenālāvunā |	avasecayet | ācūṣaṇād antarddīptenālābunā
SS.1.13	SS.1.13.8	H	editorial-surface	punctuation	 |		nā		avasecayet | ācūṣaṇād antarddīptenālāvunā |	avasecayet | ācūṣaṇād antarddīptenālābunā
SS.1.13	SS.1.13.11	N	grouped-minor	gemination		d	rd	hv	indrāyudhavad ūrdhvarājī	indrāyudhavad ūrddhvarājī
SS.1.13	SS.1.13.11	N	grouped-minor	deletion	¦		pa	yo	pānālepanādiṣūpa¦yojyaḥ	pānālepanādiṣūpayojyaḥ
SS.1.13	SS.1.13.12	H	grouped-minor	degemination	v		ir	vi	nirvviṣāḥ	nirviṣāḥ
SS.1.13	SS.1.13.12	N	grouped-minor	punctuation	 		mu	kh	dīrghamu khī	dīrghamukhī
SS.1.13	SS.1.13.12	H	editorial-surface	punctuation		 	ma	| 	nāma| mūṣikākṛtivarṇṇāniṣṭagandhā	nāma | mūṣikākṛtivarṇṇāniṣṭagandhā
SS.1.13	SS.1.13.12	N	grouped-minor	nasal-anusvara	ṃ	ṅ	śā	gu	padmapatravarṇṇāṣṭādaśāṃgulapramāṇā	padmapatravarṇṇāṣṭādaśāṅgulapramāṇā
SS.1.13	SS.1.13.13	N	grouped-minor	punctuation	 		ya	po	yavanapāṇḍyasahya potanādīni	yavanapāṇḍyasahyapotanādīni
SS.1.13	SS.1.13.13	H	grouped-minor	punctuation	 		ya	po	yavanapāṇḍyasahya potanādīni	yavanapāṇḍyasahyapotanādīni
SS.1.13	SS.1.13.13	N	grouped-minor	nasal-anusvara	m	ṃ	sā		tāsām	tāsāṃ
SS.1.13	SS.1.13.14	H	grouped-minor	punctuation	 		ṣa	kī	saviṣa kīṭa darddura mūtra purīṣa kotha jātāḥ	saviṣakīṭadardduramūtrapurīṣakothajātāḥ
SS.1.13	SS.1.13.14	H	grouped-minor	punctuation	 		ṭa	da	saviṣa kīṭa darddura mūtra purīṣa kotha jātāḥ	saviṣakīṭadardduramūtrapurīṣakothajātāḥ
SS.1.13	SS.1.13.14	H	grouped-minor	punctuation	 		ra	mū	saviṣa kīṭa darddura mūtra purīṣa kotha jātāḥ	saviṣakīṭadardduramūtrapurīṣakothajātāḥ
SS.1.13	SS.1.13.14	H	grouped-minor	punctuation	 		ra	pu	saviṣa kīṭa darddura mūtra purīṣa kotha jātāḥ	saviṣakīṭadardduramūtrapurīṣakothajātāḥ
SS.1.13	SS.1.13.14	H	grouped-minor	punctuation	 		ṣa	ko	saviṣa kīṭa darddura mūtra purīṣa kotha jātāḥ	saviṣakīṭadardduramūtrapurīṣakothajātāḥ
SS.1.13	SS.1.13.14	H	grouped-minor	punctuation	 		ha	jā	saviṣa kīṭa darddura mūtra purīṣa kotha jātāḥ	saviṣakīṭadardduramūtrapurīṣakothajātāḥ
SS.1.13	SS.1.13.14	N	editorial-surface	insertion		t	mo	pa	padmopala kumuda saugandhika śaivāla kotha jātā	padmotpalakumudasaugandhikaśaivālakothajātā
SS.1.13	SS.1.13.14	N	editorial-surface	punctuation	 		la	ku	padmopala kumuda saugandhika śaivāla kotha jātā	padmotpalakumudasaugandhikaśaivālakothajātā
SS.1.13	SS.1.13.14	N	editorial-surface	punctuation	 		da	sa	padmopala kumuda saugandhika śaivāla kotha jātā	padmotpalakumudasaugandhikaśaivālakothajātā
SS.1.13	SS.1.13.14	N	editorial-surface	punctuation	 		ka	śa	padmopala kumuda saugandhika śaivāla kotha jātā	padmotpalakumudasaugandhikaśaivālakothajātā
SS.1.13	SS.1.13.14	N	editorial-surface	punctuation	 		la	ko	padmopala kumuda saugandhika śaivāla kotha jātā	padmotpalakumudasaugandhikaśaivālakothajātā
SS.1.13	SS.1.13.14	N	editorial-surface	punctuation	 		ha	jā	padmopala kumuda saugandhika śaivāla kotha jātā	padmotpalakumudasaugandhikaśaivālakothajātā
SS.1.13	SS.1.13.15	H	grouped-minor	nasal-anusvara	ṃ	ṅ	pa	ke	paṃkeśayāḥ	paṅkeśayāḥ
SS.1.13	SS.1.13.16	H	grouped-minor	degemination	m		ar	ma	ārdracarmmaṇānyair vvā	ārdracarmaṇānyair vā
SS.1.13	SS.1.13.16	H	grouped-minor	degemination	v		 v	ā	ārdracarmmaṇānyair vvā	ārdracarmaṇānyair vā
SS.1.13	SS.1.13.17	N	grouped-minor	nasal-anusvara	ṃ	ṅ	pa	kā	sarastaḍākodakapaṃkān āvāpya	sarastaḍākodakapaṅkān āvāpya
SS.1.13	SS.1.13.17	N	grouped-minor	nasal-anusvara	m	ṃ	la		upaharet | śevālam	upaharet | śevālaṃ
SS.1.13	SS.1.13.17	H	grouped-minor	other	m̐	ṃ	kā	ś 	odakām̐ś ca	odakāṃś ca
SS.1.13	SS.1.13.17	H	grouped-minor	other	m̐	ṃ	dā	ś	kandām̐ś	kandāṃś
SS.1.13	SS.1.13.17	N	grouped-minor	nasal-anusvara	ṃ	n	ta		jalabhaktaṃ	jalabhaktan
SS.1.13	SS.1.13.17	N	grouped-minor	nasal-anusvara	ṃ	m	ṭa		dadyāt | saptarātrāt saptarātrād ghaṭaṃ	dadyāt | saptarātrāt saptarātrād ghaṭam
SS.1.13	SS.1.13.19	N	grouped-minor	punctuation		| 	d 	at	syād atha	syād | atha
SS.1.13	SS.1.13.19	H	grouped-minor	punctuation		| 	d 	at	syād atha	syād | atha
SS.1.13	SS.1.13.19	N	grouped-minor	punctuation	 		nī	pr	sarṣaparajanī pradigdha gātryaḥ	sarṣaparajanīpradigdhagātryaḥ
SS.1.13	SS.1.13.19	N	grouped-minor	punctuation	 		ha	gā	sarṣaparajanī pradigdha gātryaḥ	sarṣaparajanīpradigdhagātryaḥ
SS.1.13	SS.1.13.19	H	grouped-minor	punctuation	 		nī	pr	sarṣaparajanī pradigdha gātryaḥ	sarṣaparajanīpradigdhagātryaḥ
SS.1.13	SS.1.13.19	H	grouped-minor	punctuation	 		ha	gā	sarṣaparajanī pradigdha gātryaḥ	sarṣaparajanīpradigdhagātryaḥ
