rule_id	category	from	to	count	n_chapters	n_contexts	reverse_count	witnesses	examples	status	comment
R0011	degemination	ṇ		11	4	7	0	H K N	SS.1.1.32 K «suvarṇṇarajatādayaḥ» -> «suvarṇarajatādayaḥ» ‖ SS.1.1.32 N «suvarṇṇarajatādayaḥ» -> «suvarṇarajatādayaḥ» ‖ SS.1.1.32 H «suvarṇṇarajatādayaḥ» -> «suvarṇarajatādayaḥ»	proposed	
R0012	degemination	j		10	6	8	0	H	SS.1.14.36 H «lodhramadhukapriyaṅgupattāṅgagairikarasāñjanaśaṅkhaśuktiyavamāṣagodhūmasarjjarasacūrṇṇair» -> «lodhramadhukapriyaṅgupattāṅgagairikarasāñjanaśaṅkhaśuktiyavamāṣagodhūmasarjarasacūrṇṇair» ‖ SS.5.2.55 H «varjjanīyam» -> «varjanīyam» ‖ SS.5.3.38 H «parivarjjanīyāḥ» -> «parivarjanīyāḥ»	proposed	
R0013	degemination	m		9	7	5	0	H	SS.1.1.31 H «carmmaromanakharudhirādayaḥ» -> «carmaromanakharudhirādayaḥ» ‖ SS.1.13.16 H «ārdracarmmaṇānyair vvā» -> «ārdracarmaṇānyair vā» ‖ SS.5.2.21 H «marmmabandhāñ» -> «marmabandhāñ»	proposed	
R0014	degemination	c		8	6	6	0	H N	SS.1.14.16 H «sa śabdārcci jala santānavad anunā» -> «sa śabdārcijālasantānavad aṇunā» ‖ SS.1.16.15 N «cchedyabhedyalekhyavyadhanair» -> «chedyabhedyalekhyavyadhanair» ‖ SS.1.16.15 H «cchedyabhedyalekhyavyadhanair» -> «chedyabhedyalekhyavyadhanair»	proposed	
R0015	degemination	g		7	5	5	0	H	SS.1.14.13 H «ggacchatīti» -> «gacchatīti» ‖ SS.5.2.19ab H «gguṇaiḥ» -> «guṇaiḥ» ‖ SS.5.3.6 H «mārggāṃś» -> «mārgāṃś»	proposed	
R0016	degemination	k		7	6	5	0	H	SS.1.14.36 H «śarkkarāmadhumadhuraṃ» -> «śarkarāmadhumadhuraṃ» ‖ SS.1.16.19 H «saṃbhṛtyārkkālarkkabalātibalānantāvidārīmadhukajalaśūkaprativāpan» -> «saṃbhṛtyārkālarkabalātibalānantāvidārīmadhukajalaśūkaprativāpan» ‖ SS.1.16.19 H «saṃbhṛtyārkkālarkkabalātibalānantāvidārīmadhukajalaśūkaprativāpan» -> «saṃbhṛtyārkālarkabalātibalānantāvidārīmadhukajalaśūkaprativāpan»	proposed	
R0017	degemination	n		5	2	4	0	H	SS.1.16.10 H «nnirvvedhimaḥ» -> «nirvvedhimaḥ» ‖ SS.1.16.31 H «nnikṛntet | hīnam» -> «nikṛntet | hīnam» ‖ SS.5.2.7 H «nnṛṇāṃ» -> «nṛṇāṃ»	proposed	
R0018	degemination	b		4	3	4	0	H	SS.1.14.36 H «bbandhanadravyair» -> «bandhanadravyair» ‖ SS.5.2.13 H «grīvādaurbbalyavāksaṅgau» -> «grīvādaurbalyavāksaṅgau» ‖ SS.5.2.36 H «durbbale» -> «durbale»	proposed	
R0019	degemination	l		1	1	1	0	H	SS.5.7.38 H «lleha» -> «leha»	proposed	
R0020	deletion	ḥ		7	6	7	0	H K N	SS.1.1.4b N «icchāmaḥ» -> «icchāma» ‖ SS.1.14.41 K «prayojayet | sandhānaiḥr» -> «prayojayet | sandhānair» ‖ SS.5.2.7 K «jṛmbhaṇodveṣṭanaṃ śvāsāḥ» -> «jṛmbhaṇodveṣṭanaśvāsā»	proposed	
R0021	deletion	r		6	4	5	0	H K N	SS.1.16.23 N «tv avarhi» -> «tv abahiḥ» ‖ SS.1.16.29 H «pattrāṅgayaṣṭīmadhukāñjanaiś» -> «pattāṅgayaṣṭīmadhukāñjanaiś» ‖ SS.5.1.71cd H «kapittha meṣaśrṛṅgābhyām» -> «kapitthameṣaśṛṅgābhyām»	proposed	
R0022	deletion	d 		2	1	1	0	H K	SS.5.1.50 K «d vāpi» -> «vāpi» ‖ SS.5.1.50 H «d vāpi» -> «vāpi»	proposed	
R0023	deletion	¦		2	2	2	0	N	SS.1.13.11 N «pānālepanādiṣūpa¦yojyaḥ» -> «pānālepanādiṣūpayojyaḥ» ‖ SS.1.14.12 N «āhā¦reṇa» -> «āhāreṇa»	proposed	
R0024	deletion	 i		1	1	1	0	N	SS.1.13.22.1 N «n idramadaḥ» -> «indramadaḥ»	proposed	
R0025	deletion	p		1	1	1	0	H	SS.5.5.84ab H «somarājīyavaphalā» -> «somarājīyabahulā»	proposed	
R0026	deletion	t		1	1	1	0	N	SS.1.13.22 N «durtvāntā» -> «durvāntā»	proposed	
R0027	deletion	y		1	1	1	0	H	SS.5.5.53 H «taila madya kulatthāmla varjyair» -> «tailamadyakulatthāmlavarjair»	proposed	
R0028	deletion	ā		1	1	1	0	N	SS.1.1.4 N «vividhavedanābhighātopadrutān āsanāthān anāthavad viceṣṭamānān vikrośataś» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś»	proposed	
R0029	deletion	✗		1	1	1	0	K	SS.1.1.8.4 K «deva✗gandharvakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ» -> «devagandharvayakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ»	proposed	
R0030	gemination		d	6	4	5	0	K N	SS.1.1.8.2 K «nāmordhvajatrugatānāṃ» -> «nāmorddhvajatrugatānāṃ» ‖ SS.1.1.8.2 N «nāmordhvajatrugatānāṃ» -> «nāmorddhvajatrugatānāṃ» ‖ SS.1.13.11 N «indrāyudhavad ūrdhvarājī» -> «indrāyudhavad ūrddhvarājī»	proposed	
R0031	gemination		j	4	3	3	0	H K N	SS.1.13.22 N «anulomamārjayann ā» -> «anulomamārjjayann ā» ‖ SS.5.1.5ab K «akiñcijñaṃ» -> «akiñcijjñaṃ» ‖ SS.5.1.5ab H «akiñcijñaṃ» -> «akiñcijjñaṃ»	proposed	
R0032	gemination		ṇ	4	2	4	0	N	SS.1.2.10 N «viprāṇ ṇādhīyate» -> «viprāṇṇ ādhīyate» ‖ SS.1.16.15 N «karṇam» -> «karṇṇam» ‖ SS.1.16.18 N «karṇo» -> «karṇṇo»	proposed	
R0033	gemination		c	3	3	1	0	H	SS.5.3.8 H «charddimohajvaraśophaśūlān | arcchanti» -> «cchardimohajvaraśophaśūlān | arcchanti» ‖ SS.5.5.60 H «chītair» -> «cchītair» ‖ SS.5.7.10 H «charddi» -> «cchardi»	proposed	
R0034	gemination		v	3	1	2	0	K N	SS.1.16.3 K «vidhyet | pūrvan» -> «vidhyet | pūrvvan» ‖ SS.1.16.3 N «vidhyet | pūrvan» -> «vidhyet | pūrvvan» ‖ SS.1.16.6 N «vidhyet» -> «vvidhyet»	proposed	
R0035	gemination		g	1	1	1	0	N	SS.1.16.10 N «gaṇḍakarṇṇakaḥ» -> «ggaṇḍakarṇṇakaḥ»	proposed	
R0036	gemination		k	1	1	1	0	H	SS.1.14.35 H «elāśītaśivaḥkuṣṭhatagarapāṭhābhadradāruviḍaṃgacitrakatrikaṭukāgāradhūmaharidrārkāṅkuranaktamālaphalair» -> «elāśītaśivaḥ kuṣṭhatagarapāṭhābhadradāruviḍaṃgacitrakatrikaṭukāgāradhūmaharidrārkkāṃkuranaktamālaphalair»	proposed	
R0037	gemination		t	1	1	1	0	N	SS.1.13.24 N «kartum» -> «karttum»	proposed	
R0038	insertion		r	9	6	7	0	H K	SS.1.1.4 K «bhagavacchārīramānasāgantu bhi» -> «bhagavañ śārīramānasāgantubhir» ‖ SS.1.13.22.1 K «idamadaḥ» -> «indramadaḥ» ‖ SS.1.14.36 K «avacūrṇṇāṅgulyagreṇāvapīḍayet | sālasarjārjunārimedagranthidhavadhanvanatvagbhi vā» -> «avacūrṇṇyāṅgulyagreṇāvapīḍayet | sālasarjarjunārimedagranthidhavadhanvanatvagbhir vā»	proposed	
R0039	insertion		ḥ	8	5	6	0	H K N	SS.1.1.4b H «upasannā smaḥ» -> «upasannāḥ smaḥ» ‖ SS.1.1.30 N «caturvvidhā» -> «caturvidhāḥ» ‖ SS.1.16.23 N «tv avarhi» -> «tv abahiḥ»	proposed	
R0040	insertion		y	6	3	4	0	H K N	SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.2.6 N «vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.14.36 K «avacūrṇṇāṅgulyagreṇāvapīḍayet | sālasarjārjunārimedagranthidhavadhanvanatvagbhi vā» -> «avacūrṇṇyāṅgulyagreṇāvapīḍayet | sālasarjarjunārimedagranthidhavadhanvanatvagbhir vā»	proposed	
R0041	insertion		a	1	1	1	0	H	SS.5.2.21 H «saukṣmyāc charīrāvayavān praviśed vikrayeta» -> «saukṣmyāc charīrāvayavān praviśed vikaroti»	proposed	
R0042	insertion		h	1	1	1	0	H	SS.5.4.42 H «lālimān kiñciddṛṣṭāṅgāḥ» -> «lālimān kiñcid dhṛṣṭāṅgaḥ»	proposed	
R0043	insertion		i	1	1	1	0	N	SS.1.13.22.1 N «n idramadaḥ» -> «indramadaḥ»	proposed	
R0044	insertion		t	1	1	1	0	N	SS.1.13.14 N «padmopala kumuda saugandhika śaivāla kotha jātā» -> «padmotpalakumudasaugandhikaśaivālakothajātā»	proposed	
R0045	nasal-anusvara	ṃ	m	100	13	30	55	H K N	SS.1.1.3 H «divodāsaṃ» -> «divodāsam» ‖ SS.1.1.8.2 K «upaśamakaraṇārthaṃ» -> «upaśamakaraṇārtham» ‖ SS.1.1.8.2 H «upaśamakaraṇārthaṃ» -> «upaśamakaraṇārtham»	proposed	
R0046	nasal-anusvara	m	ṃ	55	12	26	100	H K N	SS.1.1.4b H «āyurvvedam» -> «āyurvedaṃ» ‖ SS.1.1.8.5 N «kumārabharaṇadhātrīkṣīradoṣasaṃśodhanārtham» -> «kumārabharaṇadhātrīkṣīradoṣasaṃśodhanārthaṃ» ‖ SS.1.1.9 N «kasmai kim» -> «kasmai kiṃ»	proposed	
R0047	nasal-anusvara	n	ṃ	36	11	22	16	H K N	SS.1.13.22.1 N «toyan» -> «toyaṃ» ‖ SS.1.13.22.1 H «toyan» -> «toyaṃ» ‖ SS.1.14.14 N «pañcavinśati» -> «pañcaviṃśati»	proposed	
R0048	nasal-anusvara	ṃ	ṅ	26	9	22	19	H K N	SS.1.1.10 H «alaṃkṛtvopadiśatu» -> «alaṅkṛtvopadiśatu» ‖ SS.1.13.12 N «padmapatravarṇṇāṣṭādaśāṃgulapramāṇā» -> «padmapatravarṇṇāṣṭādaśāṅgulapramāṇā» ‖ SS.1.13.15 H «paṃkeśayāḥ» -> «paṅkeśayāḥ»	proposed	
R0049	nasal-anusvara	ṅ	ṃ	19	10	17	26	H K N	SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.13.5 N «samadhuraṅ» -> «samadhuraṃ» ‖ SS.1.14.15 K «saṅkhyā hy» -> «saṃkhyā hy»	proposed	
R0050	nasal-anusvara	ṃ	n	16	8	14	36	H K N	SS.1.1.4 K «vidhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośata» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś» ‖ SS.1.1.4 H «vvividhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośataś» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś» ‖ SS.1.1.5 K «bhavaṃto» -> «bhavanto»	proposed	
R0051	nasal-anusvara		ṃ	8	4	4	2	H K N	SS.1.14.36 N «pāyayet | eṇahariṇorabhramahiṣaśaśavarāhānāṃ vā» -> «pāyayet | eṇahariṇorabhraṃmahiṣaśaśavarāhāṇāṃ vā» ‖ SS.1.14.36 H «pāyayet eṇahariṇorabhramahiṣaśaśavarāhāṇāṃ vā» -> «pāyayet | eṇahariṇorabhraṃmahiṣaśaśavarāhāṇāṃ vā» ‖ SS.1.16.25 N «vedano yas tu ta» -> «'vedano yas tu taṃ»	proposed	
R0052	nasal-anusvara	m	n	6	4	4	1	H K N	SS.1.16.17 N «paripuṭavām bhavati |» -> «paripuṭanavān bhavati» ‖ SS.1.16.17 H «paripuṭanavām bhavati |» -> «paripuṭanavān bhavati» ‖ SS.1.16.18 H «saṃrambhadāhapākavedanāvām bhavati |» -> «saṃrambhadāhapākavedanāvān bhavati»	proposed	
R0053	nasal-anusvara	ñ	ṃ	6	4	5	6	H	SS.5.2.31 H «kuryāt pravṛddhiñ» -> «kuryāt pravṛddhiṃ» ‖ SS.5.2.39 H «bhṛśañ» -> «bhṛśaṃ» ‖ SS.5.2.42 H «sindhuñ» -> «sindhuṃ»	proposed	
R0054	nasal-anusvara	ṃ	ñ	6	5	6	6	H K N	SS.1.13.19 N «salilasarakamadhyasaṃcāriṇī» -> «salilasarakamadhyasañcāriṇī» ‖ SS.1.14.21 K «māṃsapeśīsamaprabhaṃ ca» -> «māṃsapeśīsamaprabhañ ca» ‖ SS.1.16.6 N «ālepayet | surūḍhaṃ» -> «ālepayet | surūḍhañ»	proposed	
R0055	nasal-anusvara		m	5	3	5	3	H N	SS.1.14.38 N «īṣad ablair» -> «īṣadamblair» ‖ SS.1.14.38 N «anablair vā» -> «anamblair vā» ‖ SS.1.16.3 N «kumāra» -> «kumāram»	proposed	
R0056	nasal-anusvara	m		3	3	3	5	H K	SS.1.16.8 H «mā muṃcet |» -> «āmuñcet» ‖ SS.5.7.28 H «dadhikṣīraghṛtamprasthāstrayaḥ» -> «dadhikṣīraghṛtaprasthās trayaḥ» ‖ SS.5.6.18 K «mativiṣāṃ» -> «ativiṣāṃ»	proposed	
R0057	nasal-anusvara	n	ṇ	3	2	3	1	H N	SS.1.14.16 H «sa śabdārcci jala santānavad anunā» -> «sa śabdārcijālasantānavad aṇunā» ‖ SS.1.14.36 N «pāyayet | eṇahariṇorabhramahiṣaśaśavarāhānāṃ vā» -> «pāyayet | eṇahariṇorabhraṃmahiṣaśaśavarāhāṇāṃ vā» ‖ SS.5.2.7 H «jṛmbhanodveṣṭanaśvāsā» -> «jṛmbhaṇodveṣṭanaśvāsā»	proposed	
R0058	nasal-anusvara		n	2	2	2	0	H K	SS.1.13.22.1 K «idamadaḥ» -> «indramadaḥ» ‖ SS.1.14.9 H «bhavati cātra || viśratā» -> «bhavanti cātra || visratā»	proposed	
R0059	nasal-anusvara	 n		2	1	1	0	H K	SS.5.1.25 K «dantakāṣṭhe n» -> «dantakāṣṭhe» ‖ SS.5.1.25 H «dantakāṣṭhe n» -> «dantakāṣṭhe»	proposed	
R0060	nasal-anusvara	ṃ		2	2	2	8	K N	SS.1.1.12 N «sarveṣāṃm» -> «sarveṣām» ‖ SS.1.14.36 K «pācayet | eṇahariṇor abhraṃ mahiṣaśaśavarāhāṃṇāṃ vā» -> «pāyayet | eṇahariṇorabhraṃmahiṣaśaśavarāhāṇāṃ vā»	proposed	
R0061	nasal-anusvara	ṅ 	ṇ	2	1	1	0	K	SS.1.14.28 K «|| vāta viṅ mūtrasaṃgeṣu» -> «vātaviṇmūtrasaṃgeṣu» ‖ SS.1.14.28 K «vāta viṅ mūtrasaṃgeṣu» -> «vātaviṇmūtrasaṃgeṣu»	proposed	
R0062	nasal-anusvara		ñ	1	1	1	0	K	SS.5.2.31 K «pralepaka» -> «pralepakañ»	proposed	
R0063	nasal-anusvara		ṅ	1	1	1	0	N	SS.1.13.19 N «roga» -> «rogaṅ»	proposed	
R0064	nasal-anusvara	n	m	1	1	1	6	H	SS.5.3.19 H «tejasān» -> «tejasām»	proposed	
R0065	nasal-anusvara	ñ	m	1	1	1	0	H	SS.1.16.15 H «aduṣṭañ» -> «aduṣṭam»	proposed	
R0066	nasal-anusvara	ṃ 		1	1	1	0	K	SS.5.2.7 K «jṛmbhaṇodveṣṭanaṃ śvāsāḥ» -> «jṛmbhaṇodveṣṭanaśvāsā»	proposed	
R0067	nasal-anusvara	ṇ		1	1	1	0	N	SS.1.2.10 N «viprāṇ ṇādhīyate» -> «viprāṇṇ ādhīyate»	proposed	
R0068	nasal-anusvara	ṇ	n	1	1	1	3	H	SS.5.8.92ab H «vendheṇvarthe» -> «dhenvarthe»	proposed	
R0069	other	m̐	ṃ	6	4	5	0	H	SS.1.13.17 H «odakām̐ś ca» -> «odakāṃś ca» ‖ SS.1.13.17 H «kandām̐ś» -> «kandāṃś» ‖ SS.5.1.76 H «upadravām̐s» -> «upadravāṃs»	proposed	
R0070	other	ṃ |	m	4	3	2	0	H K	SS.5.1.20 K «sphoṭāyed vilikhed mahīṃ |» -> «sphoṭayed vilikhed mahīm» ‖ SS.5.1.20 H «sphoṭayed vilikhen mahīṃ |» -> «sphoṭayed vilikhed mahīm» ‖ SS.5.3.23 H «antarīkṣāt mahīgataṃ |» -> «antarīkṣāt mahīgatam»	proposed	
R0071	other		'n	2	1	1	0	H K	SS.5.1.25 K «napāne ca» -> «'nnapāne ca» ‖ SS.5.1.25 H «napāne ca» -> «'nnapāne ca»	proposed	
R0072	other		an	2	1	1	0	H K	SS.5.5.61 K «sthitiḥ sa» -> «'sthani sa» ‖ SS.5.5.61 H «sthitiḥ sa» -> «'sthani sa»	proposed	
R0073	other	 ||	ḥ	2	1	1	0	H K	SS.5.2.55 K «to nyad ahitāśina ||» -> «'nyad ahitāśinaḥ» ‖ SS.5.2.55 H «'nyad ahitāśina ||» -> «'nyad ahitāśinaḥ»	proposed	
R0074	other	e	ā	2	1	1	0	H K	SS.5.8.58 K «madhye» -> «madhyā» ‖ SS.5.8.58 H «madhye» -> «madhyā»	proposed	
R0075	other	g	s	2	1	1	0	H K	SS.5.8.34-verse-1 K «gamvāhikā» -> «samvāhikā» ‖ SS.5.8.34-verse-1 H «gamvāhikā» -> «samvāhikā»	proposed	
R0076	other	m	ś	2	1	1	0	K N	SS.1.14.14 K «kalāmatāni |» -> «kalāśatāni» ‖ SS.1.14.14 N «kalāmatāni |» -> «kalāśatāni»	proposed	
R0077	other	tiḥ		2	1	1	0	H K	SS.5.5.61 K «sthitiḥ sa» -> «'sthani sa» ‖ SS.5.5.61 H «sthitiḥ sa» -> «'sthani sa»	proposed	
R0078	other	to 	'	2	2	1	0	K N	SS.1.16.15 N «to nyatamasya» -> «'nyatamasya» ‖ SS.5.2.55 K «to nyad ahitāśina ||» -> «'nyad ahitāśinaḥ»	proposed	
R0079	other	v	p	2	1	2	1	H N	SS.1.16.10 N «cārddhakavāpasandhikaḥ |» -> «cārddhakapāṭasandhikaḥ» ‖ SS.1.16.10 H «vārddhakavāṭasandhikaḥ |» -> «cārddhakapāṭasandhikaḥ»	proposed	
R0080	other	ven		2	1	1	0	H K	SS.5.8.92ab K «vendhenvarthe» -> «dhenvarthe» ‖ SS.5.8.92ab H «vendheṇvarthe» -> «dhenvarthe»	proposed	
R0081	other	y	p	2	1	1	0	H K	SS.5.7.48 K «śabdasyarśanadarśanaiḥ |» -> «śabdasparśanadarśanaiḥ» ‖ SS.5.7.48 H «śabdasyarśanadarśamaiḥ ||» -> «śabdasparśanadarśanaiḥ»	proposed	
R0082	other	ā	am	2	1	1	0	H N	SS.1.16.8 N «la pravardhanakā» -> «laghupravarddhanakam» ‖ SS.1.16.8 H «laghupravarddhanakā» -> «laghupravarddhanakam»	proposed	
R0083	other	ās	aḥ	2	1	1	0	H K	SS.1.1.22 K «saṃsvedajādrijajarāyujāṇḍajasaṃjñās» -> «saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ» ‖ SS.1.1.22 H «saṃsvedajo hridajarāyujāṇḍajasaṃjñās» -> «saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ»	proposed	
R0084	other	ś	ch	2	2	2	1	H K	SS.1.14.18 K «vayaḥ pariṇāmāc śukraprādurbhāvo» -> «vayaḥpariṇāmāc chukraprādurbhāvo» ‖ SS.5.4.28 H «kecit śūdrās te» -> «kecic chūdrās te»	proposed	
R0085	other	ḥ	ṃ	2	1	1	0	H K	SS.5.8.123 K «dhyāmaḥ» -> «dhyāmaṃ» ‖ SS.5.8.123 H «dhyāmaḥ» -> «dhyāmaṃ»	proposed	
R0086	other		ay	1	1	1	0	K	SS.1.1.8.4 K «deva✗gandharvakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ» -> «devagandharvayakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ»	proposed	
R0087	other		jāś	1	1	1	0	K	SS.5.7.42 K «sthirāṃmandaru» -> «sthirāṃ mandarujāś»	proposed	
R0088	other		na	1	1	1	0	N	SS.1.16.17 N «paripuṭavām bhavati |» -> «paripuṭanavān bhavati»	proposed	
R0089	other		pi	1	1	1	0	H	SS.5.7.42 H «cā» -> «cāpi»	proposed	
R0090	other		ram	1	1	1	0	H	SS.1.16.3 H «kumā» -> «kumāram»	proposed	
R0091	other		sya	1	1	1	0	H	SS.1.2.6 H «brūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapāruṣya paiśunyānṛtālasyāyaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni»	proposed	
R0092	other		vi	1	1	1	0	K	SS.1.1.4 K «vidhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośata» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś»	proposed	
R0093	other		śo	1	1	1	0	H	SS.5.8.115 H «kasanādaṃ» -> «kasanādaṃśo»	proposed	
R0094	other	 	ghu	1	1	1	0	N	SS.1.16.8 N «la pravardhanakā» -> «laghupravarddhanakam»	proposed	
R0095	other	 	pā	1	1	1	0	N	SS.1.2.6 N «vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni»	proposed	
R0096	other	a	i	1	1	1	0	H	SS.5.2.21 H «saukṣmyāc charīrāvayavān praviśed vikrayeta» -> «saukṣmyāc charīrāvayavān praviśed vikaroti»	proposed	
R0097	other	a	u	1	1	1	0	H	SS.5.5.84ab H «somarājīyavaphalā» -> «somarājīyabahulā»	proposed	
R0098	other	a	y	1	1	1	0	H	SS.5.3.14 H «vvyāpa» -> «vāpy»	proposed	
R0099	other	a	āṅ	1	1	1	0	N	SS.1.13.20 N «ārdraplotāvacchanna» -> «ārdraplotāvacchannāṅ»	proposed	
R0100	other	a	ū	1	1	1	0	K	SS.5.8.86 K «koṭhaṃ sagaṇḍasthiram» -> «koṭhaṃ sakaṇḍūsthiram»	proposed	
R0101	other	aye	o	1	1	1	0	H	SS.5.2.21 H «saukṣmyāc charīrāvayavān praviśed vikrayeta» -> «saukṣmyāc charīrāvayavān praviśed vikaroti»	proposed	
R0102	other	aḥ	o	1	1	1	1	K	SS.1.16.3 K «upaveśyābhisāntvayamānaḥ» -> «upaveśyābhisāntvayamāno»	proposed	
R0103	other	aṃ 	ā	1	1	1	0	H	SS.5.1.62 H «sphoṭanaṃ srāvau» -> «sphoṭanāsrāvau»	proposed	
R0104	other	aṃm		1	1	1	0	K	SS.5.1.62 K «sphoṭanaṃmāsrāvau» -> «sphoṭanāsrāvau»	proposed	
R0105	other	c	r	1	1	1	0	N	SS.1.14.16 N «sa sabdācci jala santānavad aṇunā» -> «sa śabdārcijālasantānavad aṇunā»	proposed	
R0106	other	c	y	1	1	1	0	K	SS.1.14.36 K «pācayet | eṇahariṇor abhraṃ mahiṣaśaśavarāhāṃṇāṃ vā» -> «pāyayet | eṇahariṇorabhraṃmahiṣaśaśavarāhāṇāṃ vā»	proposed	
R0107	other	c	ñ	1	1	1	0	H	SS.1.1.4 H «bhagavac chārīramānasāgantubhir» -> «bhagavañ śārīramānasāgantubhir»	proposed	
R0108	other	cch	ñ ś	1	1	1	0	K	SS.1.1.4 K «bhagavacchārīramānasāgantu bhi» -> «bhagavañ śārīramānasāgantubhir»	proposed	
R0109	other	ch	ś	1	1	1	2	H	SS.1.1.4 H «bhagavac chārīramānasāgantubhir» -> «bhagavañ śārīramānasāgantubhir»	proposed	
R0110	other	cha	śā	1	1	1	0	N	SS.1.1.4 N «bhagavañ charīramānasāgantubhir» -> «bhagavañ śārīramānasāgantubhir»	proposed	
